
---------- Begin Simulation Statistics ----------
final_tick                                16221653000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  51319                       # Simulator instruction rate (inst/s)
host_mem_usage                                 642268                       # Number of bytes of host memory used
host_op_rate                                    91397                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   125.47                       # Real time elapsed on the host
host_tick_rate                              129290005                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                     6438899                       # Number of instructions simulated
sim_ops                                      11467340                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.016222                       # Number of seconds simulated
sim_ticks                                 16221653000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   7123937                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  4091154                       # number of cc regfile writes
system.cpu.committedInsts                     6438899                       # Number of Instructions Simulated
system.cpu.committedOps                      11467340                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               2.519321                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         2.519321                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                      1752                       # number of floating regfile reads
system.cpu.fp_regfile_writes                      807                       # number of floating regfile writes
system.cpu.idleCycles                           25844                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  894                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1285028                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.726061                       # Inst execution rate
system.cpu.iew.exec_refs                      2256640                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1040328                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 6457543                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               1217101                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  3                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                38                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1040827                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            11784527                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               1216312                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts              1383                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              11777913                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                     75                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  4534                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                   2372                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 36108                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             21                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          797                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             97                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  13270516                       # num instructions consuming a value
system.cpu.iew.wb_count                      11775216                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.602178                       # average fanout of values written-back
system.cpu.iew.wb_producers                   7991211                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.725895                       # insts written-back per cycle
system.cpu.iew.wb_sent                       11777251                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 18000604                       # number of integer regfile reads
system.cpu.int_regfile_writes                 9383185                       # number of integer regfile writes
system.cpu.ipc                               0.396932                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.396932                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass             35058      0.30%      0.30% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               9486465     80.54%     80.83% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    6      0.00%     80.83% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    28      0.00%     80.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 136      0.00%     80.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     80.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     80.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     80.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     80.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     80.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     80.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     80.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     80.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     80.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  162      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   12      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   84      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 252      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     80.84% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              1216533     10.33%     91.17% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             1039911      8.83%     99.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead             104      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite            545      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               11779296                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                    1494                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads                2952                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses         1416                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes               1737                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      234646                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.019920                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  228412     97.34%     97.34% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     97.34% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     97.34% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     97.34% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     97.34% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     97.34% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     97.34% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     97.34% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     97.34% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     97.34% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     97.34% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     97.34% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     97.34% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                     10      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                      5      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                     5      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     97.35% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                   3107      1.32%     98.68% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                  3088      1.32%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead                 5      0.00%     99.99% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite               14      0.01%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
