
---------- Begin Simulation Statistics ----------
final_tick                                  506089000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  24804                       # Simulator instruction rate (inst/s)
host_mem_usage                                 646108                       # Number of bytes of host memory used
host_op_rate                                    38109                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     2.18                       # Real time elapsed on the host
host_tick_rate                              232242392                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                       54046                       # Number of instructions simulated
sim_ops                                         83043                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000506                       # Number of seconds simulated
sim_ticks                                   506089000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                     53090                       # number of cc regfile reads
system.cpu.cc_regfile_writes                    65272                       # number of cc regfile writes
system.cpu.committedInsts                       54046                       # Number of Instructions Simulated
system.cpu.committedOps                         83043                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               9.364060                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         9.364060                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                      1797                       # number of floating regfile reads
system.cpu.fp_regfile_writes                      829                       # number of floating regfile writes
system.cpu.idleCycles                           18980                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                  658                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                     6659                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.182485                       # Inst execution rate
system.cpu.iew.exec_refs                         9131                       # number of memory reference insts executed
system.cpu.iew.exec_stores                       6207                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                    2020                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                  3395                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  3                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                53                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts                 6650                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts               96836                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                  2924                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts               928                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts                 92354                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                     18                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                214496                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                    570                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                216435                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             11                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect          608                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect             50                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                    123163                       # num instructions consuming a value
system.cpu.iew.wb_count                         91540                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.580751                       # average fanout of values written-back
system.cpu.iew.wb_producers                     71527                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.180877                       # insts written-back per cycle
system.cpu.iew.wb_sent                          91907                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                   137801                       # number of integer regfile reads
system.cpu.int_regfile_writes                   77584                       # number of integer regfile writes
system.cpu.ipc                               0.106791                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.106791                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               690      0.74%      0.74% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu                 82462     88.40%     89.14% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                    6      0.01%     89.15% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                    28      0.03%     89.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 136      0.15%     89.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     89.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     89.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     89.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     89.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     89.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     89.32% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     89.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     89.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     89.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                  180      0.19%     89.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   12      0.01%     89.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                   86      0.09%     89.62% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 256      0.27%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     89.90% # Type of FU issued
